Fuel Type Code,City,State,Longitude,Latitude,Region
ELEC,Puyallup,WA,-122.2694515,47.0968511,West
ELEC,Tampa,FL,-82.4622865,27.939175,Southeast
ELEC,Houston,TX,-95.361337,29.754233,Southwest
ELEC,San Mateo,CA,-122.3212479,37.5445904,West
ELEC,Holly Springs,GA,-84.5109498,34.1503995,Southeast
ELEC,Safety Harbor,FL,-82.7075938,28.0380294,Southeast
ELEC,Hialeah,FL,-80.3118687,25.9400816,Southeast
ELEC,Beaverton,OR,-122.8289742,45.50521009,West
ELEC,McLean,VA,-77.2154487,38.9117494,Southeast
ELEC,Tukwila,WA,-122.2511413,47.4577042,West
ELEC,Philadelphia,PA,-75.165674,39.9597854,Northeast
ELEC,McLean,VA,-77.2211717,38.9293562,Southeast
ELEC,Singer Island,FL,-80.032796,26.796137,Southeast
ELEC,Leland,NC,-78.013289735374,34.216818632315,Southeast
ELEC,Lake Mary,FL,-81.3529501,28.7882798,Southeast
ELEC,Concord,NC,-80.6628203,35.4133278,Southeast
ELEC,Irvine,CA,-117.85082253392572,33.66778058766839,West
ELEC,Monett,MO,-93.89115601833414,36.91559877502366,Midwest
ELEC,Tulsa,OK,-95.99726178941198,36.09166846407957,Southwest
ELEC,Southfield,MI,-83.27279711856478,42.48328399879399,Midwest
ELEC,Milwaukie,OR,-122.64034,45.446123,West
ELEC,Montgomery,AL,-86.1815845045821,32.33050906680903,Southeast
ELEC,Chicago,IL,-87.73111634859426,41.88930296219866,Midwest
ELEC,St. Petersburg,FL,-82.63594746184125,27.772273935205625,Southeast
ELEC,Felton,CA,-122.07483315646182,37.05006500748009,West
ELEC,Phoenix,AZ,-112.043423,33.505951,Southwest
ELEC,Irvine,CA,-117.85082253392572,33.66778058766839,West
ELEC,Scottsdale,AZ,-111.927618,33.501982,Southwest
ELEC,Centreville,VA,-77.516707,38.895514,Southeast
ELEC,Los Angeles,CA,-118.42577938126422,33.99523929838069,West
ELEC,Johnstown,PA,-78.9152653,40.30451427609848,Northeast
ELEC,King of Prussia,PA,-75.407867,40.087103,Northeast
ELEC,Levittown,NY,-73.5179047,40.7264208,Northeast
ELEC,Hanover,MD,-76.72144104893944,39.16328478953407,Southeast
ELEC,Dublin,OH,-83.107664,40.100382,Midwest
ELEC,White Marsh,MD,-76.42862,39.379908,Southeast
ELEC,Greenwich,CT,-73.64092820689356,41.02175902737804,Northeast
ELEC,Miami,FL,-80.19702,25.80327,Southeast
ELEC,Basalt,CO,-107.03656842546496,39.358411363142345,West
ELEC,Hollywood,FL,-80.1468276977539,26.003530502319336,Southeast
ELEC,Centennial,CO,-104.96920021804748,39.60003133767883,West
ELEC,Sunrise,FL,-80.28715003218176,26.19343584594688,Southeast
ELEC,Baltimore,MD,-76.5508569,39.294324,Southeast
ELEC,Linthicum,MD,-76.6527456,39.2051077,Southeast
ELEC,Annapolis Junction,MD,-76.773777,39.1252859,Southeast
ELEC,Lawrenceville,GA,-83.986974,34.035806,Southeast
ELEC,Tacoma,WA,-122.434402,47.20619,West
ELEC,Gaithersburg,TN,-86.740688,36.096257,Southeast
ELEC,San Francisco,CA,-122.3856749,37.7426395,West
ELEC,Honolulu,HI,-157.8618005,21.3072623,West
ELEC,Baltimore,MD,-76.5686991,39.2745538,Southeast
ELEC,Washington,DC,-76.989356,38.875849,Northeast
ELEC,Hanover,MD,-76.7103392,39.16055,Southeast
ELEC,Research Triangle Park,NC,-78.88125539999999,35.8604416,Southeast
ELEC,Research Triangle Park,NC,-78.87531189999999,35.855171,Southeast
ELEC,Research Triangle Park,NC,-78.88125539999999,35.8604416,Southeast
ELEC,Research Triangle Park,NC,-78.88125539999999,35.8604416,Southeast
ELEC,Research Triangle Park,NC,-78.87531189999999,35.855171,Southeast
ELEC,Research Triangle Park,NC,-78.87594890000003,35.8579273,Southeast
ELEC,Research Triangle Park,NC,-78.87701019999997,35.8583629,Southeast
ELEC,Elk Grove,CA,-121.481122,38.405704,West
ELEC,Columbia,MD,-76.800684,39.180545,Southeast
ELEC,Honolulu,HI,-157.8391914,21.2914355,West
ELEC,Miami Beach,FL,-80.1202202,25.8408912,Southeast
ELEC,Bothell,WA,-122.1939756,47.796251,West
ELEC,Pittsburgh,PA,-80.2136426,40.4697601,Northeast
ELEC,Sarasota,FL,-82.5413772,27.3355907,Southeast
ELEC,Lake Mary,FL,-81.3530899,28.789705,Southeast
ELEC,Lake Mary,FL,-81.3548085,28.7908995,Southeast
ELEC,Lake Mary,FL,-81.3546366,28.7926956,Southeast
ELEC,Denver,CO,-104.9832898,39.750309,West
ELEC,Atlanta,GA,-84.4659124,33.8770518,Southeast
ELEC,Addison,TX,-96.8242137,32.9550921,Southwest
ELEC,Plymouth Meeting,PA,-75.2895571,40.1133975,Northeast
ELEC,Key Biscayne,FL,-80.1569286,25.6856474,Southeast
ELEC,Middletown,CT,-72.629297941911,41.552815511289,Northeast
ELEC,San Diego,CA,-117.2416154,32.9471168,West
ELEC,Plano,TX,-96.8189387,33.0874966,Southwest
ELEC,Plano,TX,-96.8191062,33.0892373,Southwest
ELEC,Plano,TX,-96.8217855,33.0871658,Southwest
ELEC,Miami,FL,-80.1837141,25.7692838,Southeast
ELEC,Holliston,MA,-71.4126816,42.2115615,Northeast
ELEC,Agoura Hills,CA,-118.7853875,34.1455798,West
ELEC,Doral,FL,-80.3290983,25.8213038,Southeast
ELEC,Doral,FL,-80.328243,25.821983,Southeast
ELEC,Northbrook,IL,-87.783764,42.125164,Midwest
ELEC,Tampa,FL,-82.45929,27.9519961,Southeast
ELEC,Raleigh,NC,-78.7078699,35.8169173,Southeast
ELEC,Salt Lake City,UT,-111.8075896,40.6353159,West
ELEC,Salt Lake City,UT,-111.808557,40.6334152,West
ELEC,Portland,OR,-122.6728248,45.5201952,West
ELEC,Miami,FL,-80.3098637,25.6931074,Southeast
ELEC,Plymouth Meeting,PA,-75.2868232,40.1041122,Northeast
ELEC,Houston,TX,-95.511788,29.9359459,Southwest
ELEC,Sumner,WA,-122.224457,47.2029039,West
ELEC,Columbia,MD,-76.84201,39.184579,Southeast
ELEC,SF,CA,-122.3934314,37.7861748,West
ELEC,Aurora,CO,-104.7987051,39.7711284,West
ELEC,Aurora,CO,-104.7994039,39.7711258,West
ELEC,Denver,CO,-104.8002753,39.7758382,West
ELEC,El Segundo,CA,-118.3912072,33.9262949,West
ELEC,Beverly,MA,-70.8847828,42.542639,Northeast
ELEC,Beverly,MA,-70.8832777,42.547976,Northeast
ELEC,Alexandria,VA,-77.0508246,38.8164252,Southeast
ELEC,Florissant,MO,-90.32269012208955,38.79212636528733,Midwest
ELEC,Portland,ME,-70.2739138,43.66230761035457,Northeast
ELEC,Newberg,OR,-123.0499934,45.33890390670148,West
ELEC,Milwaukie,OR,-122.62865026441784,45.44634241433914,West
ELEC,Sykesville,MD,-76.9684620912619,39.3664046459304,Southeast
ELEC,Ellicottville,NY,-78.69351738155096,42.27319722643032,Northeast
ELEC,Great Neck,NY,-73.7119,40.79682,Northeast
ELEC,Berea,OH,-81.84810075767038,41.37063915795192,Midwest
ELEC,Anaheim,CA,-117.892841,33.7987449,West
ELEC,Birmingham,AL,-86.817066,33.513128,Southeast
ELEC,Katy,TX,-95.745094,29.779212,Southwest
ELEC,Gainesville,FL,-82.39672069171364,29.627370024187808,Southeast
ELEC,Watsonville,CA,-121.76398963374068,36.90426549421529,West
ELEC,Herndon,VA,-77.42082553175098,38.96026333376511,Southeast
ELEC,Eagle Pass,TX,-100.48189680872233,28.691721824149127,Southwest
ELEC,Toledo,OH,-83.68610447442569,41.67543485519552,Midwest
ELEC,Meridian,ID,-116.36055,43.597748,West
ELEC,Chesterfield,MO,-90.55148399111802,38.65649391410247,Midwest
ELEC,Redlands,CA,-117.20820596440451,34.06397736814085,West
ELEC,Huntington Beach,CA,-117.99825,33.73307,West
ELEC,Medford,OR,-122.84692902394038,42.317234630979726,West
ELEC,El Paso,TX,-106.35726,31.759311,Southwest
ELEC,Rockville,MD,-77.1204712,39.0587398,Southeast
ELEC,Haslet,TX,-97.392886,32.943846,Southwest
ELEC,Boxborough,MA,-71.542769,42.496805,Northeast
ELEC,Boxborough,MA,-71.5386987,42.4995987,Northeast
ELEC,Fremont,CA,-121.9908258,37.5187144,West
ELEC,Los Angeles,CA,-118.4113327,34.058002,West
ELEC,Lincoln,MA,-71.29578445,42.45736195,Northeast
ELEC,Rockville,MD,-77.18171799999999,39.094173,Southeast
ELEC,Rockville,MD,-77.18273800000003,39.096201,Southeast
ELEC,Rockville,MD,-77.18029000000001,39.092982,Southeast
ELEC,Columbia,MD,-76.807212,39.1859082,Southeast
ELEC,Orlando,FL,-81.37638500000003,28.545121,Southeast
ELEC,Los Angeles,CA,-118.3883545,33.9764228,West
ELEC,Odenton,MD,-77.141904,39.242897,Southeast
ELEC,San Diego,CA,-117.2054825,32.8767705,West
ELEC,San Diego,CA,-117.203828,32.8750039,West
ELEC,Atlanta,GA,-84.3852749,33.830907,Southeast
ELEC,Madera,CA,-120.0864234,36.9486053,West
ELEC,Washington,DC,-77.0028036,38.9010153,Northeast
ELEC,Baltimore,MD,-76.61057399999999,39.289279,Southeast
ELEC,Princeton,NJ,-74.59352460000002,40.35042,Northeast
ELEC,Duluth,GA,-84.1189709,33.9634549,Southeast
ELEC,Owings Mills,MD,-76.7960916,39.4056805,Southeast
ELEC,Anaheim,CA,-117.8411893,33.8637857,West
ELEC,Atlanta,GA,-84.4583079,33.8741296,Southeast
ELEC,Issaquah,WA,-122.050648,47.548675,West
ELEC,Redmond,WA,-122.122092,47.6688074,West
ELEC,Fort Lauderdale,FL,-80.0972269,26.1795477,Southeast
ELEC,Bothell,WA,-122.1845859,47.7647852,West
ELEC,Columbia,MD,-76.8752489,39.1754317,Southeast
ELEC,Scottsdale,AZ,-111.9134038,33.5654957,Southwest
ELEC,Sunrise,FL,-80.3303155,26.143426,Southeast
ELEC,Tucson,AZ,-110.9563766,32.2217868,Southwest
ELEC,Apex,NC,-78.8767006,35.7586227,Southeast
ELEC,Wake Forest,NC,-78.53454,35.9475329,Southeast
ELEC,Tega Cay,SC,-80.9913809,35.0660614,Southeast
ELEC,Houston,TX,-95.3780953,29.740604,Southwest
ELEC,Portland,OR,-122.5698719,45.5308033,West
ELEC,Dallas,TX,-96.7960034,32.8048041,Southwest
ELEC,Mamaroneck,NY,-73.7302481,40.9506878,Northeast
ELEC,Denver,CO,-104.8509185,39.7548612,West
ELEC,Alpine,UT,-111.776859,40.448001,West
ELEC,Morrisville,NC,-78.861515,35.874228,Southeast
ELEC,Morrisville,NC,-78.8619474,35.8700903,Southeast
ELEC,Morrisville,NC,-78.862416,35.8670101,Southeast
ELEC,Boulder,CO,-105.2473684,40.0296097,West
ELEC,Lakewood,CO,-105.118495,39.7386952,West
ELEC,Fort Lauderdale,FL,-80.1193041,26.139508,Southeast
ELEC,Philadelphia,PA,-75.1432262,39.9539294,Northeast
ELEC,Village of Pelham,NY,-73.812836,40.905429,Northeast
ELEC,Sunrise,FL,-80.3291444,26.1501248,Southeast
ELEC,Kissimmee,FL,-81.563396,28.3137876,Southeast
ELEC,Frisco,TX,-96.830614,33.1564009,Southwest
ELEC,Westport,CT,-73.3249555,41.1393568,Northeast
ELEC,San Diego,CA,-117.1729117,32.9016491,West
ELEC,Hanover,MD,-76.7483399,39.1514472,Southeast
ELEC,La Puente,CA,-117.9439921,34.0315999,West
ELEC,Austin,TX,-97.7411186,30.4354516,Southwest
ELEC,Alexandria,DC,-77.0368814,38.9187729,Northeast
ELEC,Las Vegas,NV,-115.2951686,36.0852409,West
ELEC,Miami,FL,-80.2405395,25.7394457,Southeast
ELEC,Cleveland,OH,-81.7291364,41.4896988,Midwest
ELEC,Orlando,FL,-81.4798071,28.4510595,Southeast
ELEC,Portland,OR,-122.5631296,45.5269708,West
ELEC,Quincy,MA,-71.0496451,42.2461977,Northeast
ELEC,Oakland Park,FL,-80.13818166303238,26.16492812488394,Southeast
ELEC,McLean,VA,-77.219997,38.931438,Southeast
ELEC,Tamarac,FL,-80.21956007847027,26.199897187864167,Southeast
ELEC,Dubuque,IA,-90.7281184999999,42.49065540471866,Midwest
ELEC,Raleigh,NC,-78.65638179434268,35.73329879995637,Southeast
ELEC,San Rafael,CA,-122.52976550377636,37.97436310706424,West
ELEC,Montevallo,AL,-86.86415562883596,33.09948523789605,Southeast
ELEC,Raleigh,NC,-78.6905027,35.83654110219511,Southeast
ELEC,Columbia,SC,-81.03682096274352,34.00372273468928,Southeast
ELEC,Modesto,CA,-120.994015,37.709269,West
ELEC,Blue Hill,ME,-68.59017867724044,44.41351646069299,Northeast
ELEC,Charlotte,NC,-80.86530025891327,35.0549507178237,Southeast
ELEC,Little Rock,AR,-92.2618114,34.7438159,Southeast
ELEC,Miami,FL,-80.308384,25.747425,Southeast
ELEC,Scranton,PA,-75.67768407444011,41.39270117283227,Northeast
ELEC,Pittsboro,NC,-79.1584443,35.7276105,Southeast
ELEC,Berea,OH,-81.85258432883519,41.37515384537967,Midwest
ELEC,College Park,MD,-76.92090902012097,39.00412545701672,Southeast
